Province,Occupation,Gender,Employment
Newfoundland and Labrador,"33102 Nurse aides, orderlies and patient service associates",Women,4905
Newfoundland and Labrador,"4 Occupations in education, law and social, community and government services",Total,37370
Newfoundland and Labrador,"4 Occupations in education, law and social, community and government services",Men,10460
Newfoundland and Labrador,"4 Occupations in education, law and social, community and government services",Women,26910
Newfoundland and Labrador,40040 Commissioned police officers and related occupations in public protection services,Total,0
Newfoundland and Labrador,40040 Commissioned police officers and related occupations in public protection services,Men,0
Newfoundland and Labrador,40040 Commissioned police officers and related occupations in public protection services,Women,0
Newfoundland and Labrador,4131 Police investigators and probation officers,Total,70
Newfoundland and Labrador,4131 Police investigators and probation officers,Men,25
Newfoundland and Labrador,4131 Police investigators and probation officers,Women,45
Newfoundland and Labrador,41310 Police investigators and other investigative occupations,Total,10
Newfoundland and Labrador,41310 Police investigators and other investigative occupations,Men,0
Newfoundland and Labrador,41310 Police investigators and other investigative occupations,Women,10
Newfoundland and Labrador,42100 Police officers (except commissioned),Total,935
Newfoundland and Labrador,42100 Police officers (except commissioned),Men,695
Newfoundland and Labrador,42100 Police officers (except commissioned),Women,240
Newfoundland and Labrador,42101 Firefighters,Total,385
Newfoundland and Labrador,42101 Firefighters,Men,360
Newfoundland and Labrador,42101 Firefighters,Women,20
Newfoundland and Labrador,"5 Occupations in art, culture, recreation and sport",Total,5945
Newfoundland and Labrador,"5 Occupations in art, culture, recreation and sport",Men,2620
Newfoundland and Labrador,"5 Occupations in art, culture, recreation and sport",Women,3320
Newfoundland and Labrador,6 Sales and service occupations,Total,68155
Newfoundland and Labrador,6 Sales and service occupations,Men,27230
Newfoundland and Labrador,6 Sales and service occupations,Women,40925
Newfoundland and Labrador,"7 Trades, transport and equipment operators and related occupations",Total,54575
Newfoundland and Labrador,"7 Trades, transport and equipment operators and related occupations",Men,50230
Newfoundland and Labrador,"7 Trades, transport and equipment operators and related occupations",Women,4345
Newfoundland and Labrador,"8 Natural resources, agriculture and related production occupations",Total,13660
Newfoundland and Labrador,"8 Natural resources, agriculture and related production occupations",Men,10905
Newfoundland and Labrador,"8 Natural resources, agriculture and related production occupations",Women,2750
Newfoundland and Labrador,9 Occupations in manufacturing and utilities,Total,11155
Newfoundland and Labrador,9 Occupations in manufacturing and utilities,Men,7680
Newfoundland and Labrador,9 Occupations in manufacturing and utilities,Women,3475
Prince Edward Island,0 Legislative and senior management occupations,Total,875
Prince Edward Island,0 Legislative and senior management occupations,Men,540
Prince Edward Island,0 Legislative and senior management occupations,Women,335
Prince Edward Island,"1 Business, finance and administration occupations",Total,13330
Prince Edward Island,"1 Business, finance and administration occupations",Men,3800
Prince Edward Island,"1 Business, finance and administration occupations",Women,9525
Prince Edward Island,2 Natural and applied sciences and related occupations,Total,5255
Prince Edward Island,2 Natural and applied sciences and related occupations,Men,3855
Prince Edward Island,2 Natural and applied sciences and related occupations,Women,1405
Prince Edward Island,21301 Mechanical engineers,Total,105
Prince Edward Island,21301 Mechanical engineers,Men,90
Prince Edward Island,21301 Mechanical engineers,Women,15
Prince Edward Island,21310 Electrical and electronics engineers,Total,60
Prince Edward Island,21310 Electrical and electronics engineers,Men,60
Prince Edward Island,21310 Electrical and electronics engineers,Women,0
Prince Edward Island,21311 Computer engineers (except software engineers and designers),Total,55
Prince Edward Island,21311 Computer engineers (except software engineers and designers),Men,50
Prince Edward Island,21311 Computer engineers (except software engineers and designers),Women,0
Prince Edward Island,3 Health occupations,Total,7265
Prince Edward Island,3 Health occupations,Men,1080
Prince Edward Island,3 Health occupations,Women,6185
Prince Edward Island,31301 Registered nurses and registered psychiatric nurses,Total,1825
Prince Edward Island,31301 Registered nurses and registered psychiatric nurses,Men,120
Prince Edward Island,31301 Registered nurses and registered psychiatric nurses,Women,1705
Prince Edward Island,31302 Nurse practitioners,Total,45
Prince Edward Island,31302 Nurse practitioners,Men,0
Prince Edward Island,31302 Nurse practitioners,Women,45
Prince Edward Island,32101 Licensed practical nurses,Total,465
Prince Edward Island,32101 Licensed practical nurses,Men,20
Prince Edward Island,32101 Licensed practical nurses,Women,440
Prince Edward Island,"33102 Nurse aides, orderlies and patient service associates",Total,1850
Prince Edward Island,"33102 Nurse aides, orderlies and patient service associates",Men,215
Prince Edward Island,"33102 Nurse aides, orderlies and patient service associates",Women,1635
Prince Edward Island,"4 Occupations in education, law and social, community and government services",Total,10970
Prince Edward Island,"4 Occupations in education, law and social, community and government services",Men,3245
Prince Edward Island,"4 Occupations in education, law and social, community and government services",Women,7725
Prince Edward Island,40040 Commissioned police officers and related occupations in public protection services,Total,0
Prince Edward Island,40040 Commissioned police officers and related occupations in public protection services,Men,0
Prince Edward Island,40040 Commissioned police officers and related occupations in public protection services,Women,0
Prince Edward Island,4131 Police investigators and probation officers,Total,30
Prince Edward Island,4131 Police investigators and probation officers,Men,20
Prince Edward Island,4131 Police investigators and probation officers,Women,15
Prince Edward Island,41310 Police investigators and other investigative occupations,Total,15
Prince Edward Island,41310 Police investigators and other investigative occupations,Men,15
Prince Edward Island,41310 Police investigators and other investigative occupations,Women,0
Prince Edward Island,42100 Police officers (except commissioned),Total,230
Prince Edward Island,42100 Police officers (except commissioned),Men,190
Prince Edward Island,42100 Police officers (except commissioned),Women,35
Prince Edward Island,42101 Firefighters,Total,10
Prince Edward Island,42101 Firefighters,Men,10
Prince Edward Island,42101 Firefighters,Women,0
Prince Edward Island,"5 Occupations in art, culture, recreation and sport",Total,2270
Prince Edward Island,"5 Occupations in art, culture, recreation and sport",Men,1040
Prince Edward Island,"5 Occupations in art, culture, recreation and sport",Women,1225
Prince Edward Island,6 Sales and service occupations,Total,22405
Prince Edward Island,6 Sales and service occupations,Men,9080
Prince Edward Island,6 Sales and service occupations,Women,13325
Prince Edward Island,"7 Trades, transport and equipment operators and related occupations",Total,15570
Prince Edward Island,"7 Trades, transport and equipment operators and related occupations",Men,14380
Prince Edward Island,"7 Trades, transport and equipment operators and related occupations",Women,1185
Prince Edward Island,"8 Natural resources, agriculture and related production occupations",Total,7685
Prince Edward Island,"8 Natural resources, agriculture and related production occupations",Men,6040
Prince Edward Island,"8 Natural resources, agriculture and related production occupations",Women,1645
Prince Edward Island,9 Occupations in manufacturing and utilities,Total,4670
Prince Edward Island,9 Occupations in manufacturing and utilities,Men,3045
Prince Edward Island,9 Occupations in manufacturing and utilities,Women,1620
Nova Scotia,0 Legislative and senior management occupations,Total,5380
Nova Scotia,0 Legislative and senior management occupations,Men,3330
Nova Scotia,0 Legislative and senior management occupations,Women,2045
Nova Scotia,"1 Business, finance and administration occupations",Total,79305
Nova Scotia,"1 Business, finance and administration occupations",Men,23020
Nova Scotia,"1 Business, finance and administration occupations",Women,56290
Nova Scotia,2 Natural and applied sciences and related occupations,Total,34275
Nova Scotia,2 Natural and applied sciences and related occupations,Men,26140
Nova Scotia,2 Natural and applied sciences and related occupations,Women,8130
Nova Scotia,21301 Mechanical engineers,Total,870
Nova Scotia,21301 Mechanical engineers,Men,780
Nova Scotia,21301 Mechanical engineers,Women,90
Nova Scotia,21310 Electrical and electronics engineers,Total,960
Nova Scotia,21310 Electrical and electronics engineers,Men,840
Nova Scotia,21310 Electrical and electronics engineers,Women,115
Nova Scotia,21311 Computer engineers (except software engineers and designers),Total,425
Nova Scotia,21311 Computer engineers (except software engineers and designers),Men,375
Nova Scotia,21311 Computer engineers (except software engineers and designers),Women,50
Nova Scotia,3 Health occupations,Total,48825
Nova Scotia,3 Health occupations,Men,8345
Nova Scotia,3 Health occupations,Women,40480
Nova Scotia,31301 Registered nurses and registered psychiatric nurses,Total,11245
Nova Scotia,31301 Registered nurses and registered psychiatric nurses,Men,880
Nova Scotia,31301 Registered nurses and registered psychiatric nurses,Women,10360
Nova Scotia,31302 Nurse practitioners,Total,235
Nova Scotia,31302 Nurse practitioners,Men,15
Nova Scotia,31302 Nurse practitioners,Women,220
Nova Scotia,32101 Licensed practical nurses,Total,3075
Nova Scotia,32101 Licensed practical nurses,Men,170
Nova Scotia,32101 Licensed practical nurses,Women,2905
Nova Scotia,"33102 Nurse aides, orderlies and patient service associates",Total,12110
Nova Scotia,"33102 Nurse aides, orderlies and patient service associates",Men,1465
Nova Scotia,"33102 Nurse aides, orderlies and patient service associates",Women,10650
Nova Scotia,"4 Occupations in education, law and social, community and government services",Total,73205
Nova Scotia,"4 Occupations in education, law and social, community and government services",Men,26255
Nova Scotia,"4 Occupations in education, law and social, community and government services",Women,46955
Nova Scotia,40040 Commissioned police officers and related occupations in public protection services,Total,45
Nova Scotia,40040 Commissioned police officers and related occupations in public protection services,Men,30
Nova Scotia,40040 Commissioned police officers and related occupations in public protection services,Women,15
Nova Scotia,4131 Police investigators and probation officers,Total,205
Nova Scotia,4131 Police investigators and probation officers,Men,80
Nova Scotia,4131 Police investigators and probation officers,Women,120
Nova Scotia,41310 Police investigators and other investigative occupations,Total,50
Nova Scotia,41310 Police investigators and other investigative occupations,Men,35
Nova Scotia,41310 Police investigators and other investigative occupations,Women,10
Nova Scotia,42100 Police officers (except commissioned),Total,2065
Nova Scotia,42100 Police officers (except commissioned),Men,1635
Nova Scotia,42100 Police officers (except commissioned),Women,425
Nova Scotia,42101 Firefighters,Total,860
Nova Scotia,42101 Firefighters,Men,825
Nova Scotia,42101 Firefighters,Women,40
Nova Scotia,"5 Occupations in art, culture, recreation and sport",Total,15920
Nova Scotia,"5 Occupations in art, culture, recreation and sport",Men,6985
Nova Scotia,"5 Occupations in art, culture, recreation and sport",Women,8935
Nova Scotia,6 Sales and service occupations,Total,141360
Nova Scotia,6 Sales and service occupations,Men,60170
Nova Scotia,6 Sales and service occupations,Women,81190
Nova Scotia,"7 Trades, transport and equipment operators and related occupations",Total,89775
Nova Scotia,"7 Trades, transport and equipment operators and related occupations",Men,82710
Nova Scotia,"7 Trades, transport and equipment operators and related occupations",Women,7065
Nova Scotia,"8 Natural resources, agriculture and related production occupations",Total,20710
Nova Scotia,"8 Natural resources, agriculture and related production occupations",Men,17075
Nova Scotia,"8 Natural resources, agriculture and related production occupations",Women,3640
Nova Scotia,9 Occupations in manufacturing and utilities,Total,21655
Nova Scotia,9 Occupations in manufacturing and utilities,Men,16050
